Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Module,trust_covid_info_who_somewhat,Percentage of people who report that they somewhat trust COVID info from the World Health Organization,NA,I6_3 == 'somewhat trust'' / any response to I6_3,NA,I6,NA,NA,2021-05-16,2022-06-25
Module,trust_covid_info_govt_health_somewhat,Percentage of people who report that they somewhat trust COVID info from government health authorities,NA,I6_4 == 'somewhat trust'' / any response to I6_4,NA,I6,NA,NA,2021-05-16,2022-06-25
Module,trust_covid_info_politicians_somewhat,Percentage of people who report that they somewhat trust COVID info from politicians,NA,I6_5 == 'somewhat trust'' / any response to I6_5,NA,I6,NA,NA,2021-05-16,2022-06-25
Module,trust_covid_info_journalists_somewhat,Percentage of people who report that they somewhat trust COVID info from journalists,NA,I6_6 == 'somewhat trust'' / any response to I6_6,NA,I6,NA,NA,2021-05-16,2022-06-25
Module,trust_covid_info_friends_somewhat,Percentage of people who report that they somewhat trust COVID info from friends and family,NA,I6_7 == 'somewhat trust'' / any response to I6_7,NA,I6,NA,NA,2021-05-16,2022-06-25
Module,trust_covid_info_religious_somewhat,Percentage of people who report that they somewhat trust COVID info from religious leaders,NA,I6_8 == 'somewhat trust'' / any response to I6_8,NA,I6,NA,NA,2021-05-16,2022-06-25
Sociodemographics,gender_male,Percentage of respondents that report that their gender is male.,(D1 == ‘male’) / (any response to D1),(E3 == ‘male’) / (any response to E3),D1,E3,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,gender_female,Percentage of respondents that report that their gender is female.,(D1 == ‘female’) / (any response to D1),(E3 == ‘female’) / (any response to E3),D1,E3,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,gender_nonbinary_other,Percentage of respondents that report that their gender is non-binary or other.,(D1 == ‘nonbinary’ | D1 == 'prefer to self-describe') / (any response to D1),(E3 == ‘other’) / (any response to E3),D1,E3,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,gender_unknown,"Percentage of respondents that report that they ""prefer not to answer"" the gender question.",(D1 == ‘Prefer not to answer’) / (any response to D1),NA,D1,NA,2020-04-05,2022-06-25,NA,NA
Sociodemographics,age_18_24,Percentage of respondents between 18 - 24 years of age.,(D2 == ‘18-24’) / (any response to D2),(E4 == ‘18-24’) / (any response to E4),D2,E4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,age_25_34,Percentage of respondents between 25 - 34 years of age.,(D2 == ‘25-34’) / (any response to D2),(E4 == ‘25-34’) / (any response to E4),D2,E4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,age_35_44,Percentage of respondents between 35- 44 years of age.,(D2 == ‘35-44’) / (any response to D2),(E4 == ‘35-44’) / (any response to E4),D2,E4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,age_45_54,Percentage of respondents between 45 - 54 years of age,(D2 == ‘45-54’) / (any response to D2),(E4 == ‘45-54’) / (any response to E4),D2,E4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,age_55_64,Percentage of respondents between 55 - 64 years of age.,(D2 == ‘55-64’) / (any response to D2),(E4 == ‘55-64’) / (any response to E4),D2,E4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,age_65_74,Percentage of respondents between 65 - 74 years of age,(D2 == ‘65-74’) / (any response to D2),(E4 == ‘65-74’) / (any response to E4),D2,E4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,age_75_older,Percentage of respondents 75 years of age or older.,(D2 == ‘75 or older’) / (any response to D2),(E4 == ‘75 or older’) / (any response to E4),D2,E4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Sociodemographics,education_less_than_primary,Percentage of respondents with less than primary schooling.,NA,(E8 ==’no formal schooling’ | E8 == ‘less than primary school’’) / (any response to E8),NA,E8,NA,NA,2021-05-16,2022-06-25
Sociodemographics,education_primary_school,Percentage of respondents with primary school education,NA,(E8 == ‘primary school’) / (any response to E8),NA,E8,NA,NA,2021-05-16,2022-06-25
Sociodemographics,education_secondary_school,Percentage of respondents with secondary school education.,NA,(E8 == ‘secondary school’) / (any response to E8),NA,E8,NA,NA,2021-05-16,2022-06-25
Sociodemographics,education_college_university,Percentage of respondents with college or univesity education.,NA,(E8 == ‘college/pre-uni/universit’) / (any response to E8),NA,E8,NA,NA,2021-05-16,2022-06-25
Sociodemographics,education_postgrad,Percentage of respondents with post-graduate education.,NA,(E8 == ‘university post-graduate’) / (any response to E8),NA,E8,NA,NA,2021-05-16,2022-06-25
Sociodemographics,education_highschool_or_equivalent,Percentage of respondents with high school or equivalent education.,(D8 == ‘high school graduate’) / (any response to D8),(E8 == ‘high school completed’) / (any response to E8),D8,E8,2020-09-06,2022-06-25,2021-05-16,2022-06-25
Sociodemographics,education_less_than_highschool,Percentage of respondents with less than a high school education,(D8 == ‘less than high school’) / (any response to D8),NA,D8,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,education_some_college,Percentage of respondents with some college education,(D8 == ‘some college’) / (any response to D8),NA,D8,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,education_2yr_degree,Percentage of respondents with a 2-year degree,(D8 == ‘2 year degree’) / (any response to D8),NA,D8,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,education_4yr_degree,Percentage of respondents with a 4-year degree,(D8 == ‘4 year degree’) / (any response to D8),NA,D8,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,education_masters,Percentage of respondents with a Master's degree,(D8 == ‘masters’) / (any response to D8),NA,D8,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,education_professional_degree,Percentage of respondents with a professional degree,(D8 == ‘professional degree’) / (any response to D8),NA,D8,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,education_doctorate,Percentage of respondents with a doctorate degree.,(D8 == ‘doctorate’) / (any response to D8),NA,D8,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,city,Percentage of respondents who report living in a city.,NA,(E2 == ‘city’) / (any response to E2),NA,E2,NA,NA,2020-04-26,2022-06-25
Sociodemographics,town,Percentage of respondents who report living in a town.,NA,(E2 == ‘town’) / (any response to E2),NA,E2,NA,NA,2020-04-26,2022-06-25
Sociodemographics,village_rural,Percentage of respondents who report living in a village or rural area.,NA,(E2 == ‘village or rural’) / (any response to E2),NA,E2,NA,NA,2020-04-26,2022-06-25
Sociodemographics,condition_asthma,Percentage of respondents who report having previously been diagnosed with Asthma,(C1 == 'Asthma') / (any response to C1),(V10 == 'Asthma') / (any response to V10),C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_lung,Percentage of respondents who report having previously been diagnosed with chronic lung disease.,(C1 == 'Chronic lung disease') / (any response to C1),"(V10 == 'Chronic lung disease such as COPD, ...') / (any response to V10)",C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_cancer,Percentage of respondents who report having previously been diagnosed with cancer.,(C1 == 'Cancer') / (any response to C1),(V10 == 'Cancer') / (any response to V10),C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_diabetes,Percentage of respondents who report having previously been diagnosed with Diabetes.,(C1 == 'Diabetes' OR C1 == 'Type 1 diabetes' OR C1 == 'Type 2 diabetes') / (any response to C1),(V10 == 'Diabetes') / (any response to V10),C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_hbp,Percentage of respondents who report having previously been diagnosed with High Blood Pressure,(C1 == 'High blood pressure') / (any response to C1),(V10 == 'High blood pressure') / (any response to V10),C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_kidney,Percentage of respondents who report having previously been diagnosed with kidney disease.,(C1 == 'Kidney disease') / (any response to C1),(V10 == 'Kidney disease') / (any response to V10),C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_immune,Percentage of respondents who report having previously been diagnosed with a weakened or compromised immune system or an auto-immune disorder.,(C1 == 'Autoimmune disorder...') / (any response to C1),(V10 == 'Weakened or compromised immune system') / (any response to V10),C1,V10,2020-04-05,2021-08-07,2021-01-31,2022-06-25
Sociodemographics,condition_cvd,"Percentage of respondents who report having previously been diagnosed with heart attack, heart disease, or other heart condition.",(C1 == 'Heart disease') / (any response to C1),"(V10 == 'Heart attack, heart disease, or other heart condition') / (any response to V10)",C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_obesity,Percentage of respondents who report having previously been diagnosed with obsesity.,(C1 == 'Obesity') / (any response to C1),(V10 == 'Obesity') / (any response to V10),C1,V10,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,condition_none,Percentage of respondents who report having been diagnosed with none of the listed conditions.,(C1 == 'None of the above') / (any response to C1),(V10 == 'None of these') / (any response to V10),C1,V10,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,pregnant,Percentage of respondents who report being currently pregnant.,(D1b == 'Yes') / (any response to D1b),(V11 == 'Yes') / (any response to V11),D1b,V11,2020-04-05,2022-06-25,2021-01-31,2022-06-25
Sociodemographics,smoke,Percentage of respondents who report that they smoke cigarettes.,(D11 == 'Yes') / (any response to D11),(V12 == 'Yes') / (any response to V12),D11,V12,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Parenting,has_child_under_18,Estimated percentage of respondents who report having a child under the age of 18 years old.,P1 == 'yes' / any response to P1,J3 == 'yes' / any response to J3,P1,J3,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,oldest_child_under_5,"Of those that report having a child under 18 years old, the estimated percentage who report that the oldest child is under 5 years old.",P2 == 'under 5 years old' / any response to P2,J4 == 'under 5 years old' / any response to J4,P2,J4,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,oldest_child_5_to_11,"Of those that report having a child under 18 years old, the estimated percentage who report that the oldest child is between 5 to 11 years old.",P2 == '5 to 11 years old' / any response to P2,J4 == '5 to 11 years old' / any response to J4,P2,J4,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,oldest_child_12_to_15,"Of those that report having a child under 18 years old, the estimated percentage who report that the oldest child is between 12 to 15 years old.",P2 == '12 to 15 years old' / any response to P2,J4 == '12 to 15 years old' / any response to J4,P2,J4,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,oldest_child_16_to_17,"Of those that report having a child under 18 years old, the estimated percentage who report that the oldest child is between 16 to 17 years old.",P2 == '16 to 17 years old' / any response to P2,J4 == '16 to 17 years old' / any response to J4,P2,J4,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,child_vaccine_already,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child under 18 years old is vaccinated. ",P3 == 'They are already vacccinated for COVID-19' / any response to P3,J5 == 'They are already vacccinated for COVID-19' / any response to J5,P3,J5,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,child_vaccine_yes_def,"Among respondents who report having a child under 18, the estimated percentage who report that they will ""yes, definitely"" vaccinate their oldest child.","P3 == 'Yes, definitely' / any response to P3","J5 == 'Yes, definitely' / any response to J5",P3,J5,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,child_vaccine_yes_prob,"Among respondents who report having a child under 18, the estimated percentage who report that they will ""yes, probably"" vaccinate their oldest child.","P3 == 'Yes, probably' / any response to P3","J5 == 'Yes, probably' / any response to J5",P3,J5,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,child_vaccine_no_prob,"Among respondents who report having a child under 18, the estimated percentage who report that they will ""no, probably not"" vaccinate their oldest child.","P3 == 'No, probably' / any response to P3","J5 == 'No, probably' / any response to J5",P3,J5,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,child_vaccine_no_def,"Among respondents who report having a child under 18, the estimated percentage who report that they will ""no, definitely not"" vaccinate their oldest child.","P3 == 'No, definitely' / any response to P3","J5 == 'No, definitely' / any response to J5",P3,J5,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,child_vaccine_vaccinated_or_accept,"Among respondents who report having a child under 18, the estimated percentage who report that they have either already vaccinated their oldest child or have reported ""yes, definitely"" or ""yes, probably"" that they will vaccinate their oldest child.","P3 == 'They are already vacccinated for COVID-19' OR P3 == 'Yes, definitely' OR P3 == 'Yes, probably' / any response to P3","J5 == 'They are already vacccinated for COVID-19' OR J5 == 'Yes, definitely' OR J5 == 'Yes, probably' / any response to J5",P3,J5,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Parenting,global_school_in_person,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is going to school in person.",NA,J6 == 'Going to in-person classes' / any response to J6,NA,J6,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_remote,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is attending school using online, remote, or distance learning.",NA,"J6 == 'Online, remote, or distance learning' / any response to J6",NA,J6,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_mixed,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is attending school using a mix of in-person and online, remote or distance learning.",NA,"J6 == 'Mix of in-person and online, remote, or distance learning' / any response to J6",NA,J6,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_not,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is not in school.",NA,J6 == 'Not in school' / any response to J6,NA,J6,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_remote_online_computer,"Among respondents who report having a child under 18 in online, remote, or distance learning, the estimated percentage that describes how their oldest child is learning as ""online using a computer or tablet.""",NA,J7 == 'Online using a computer or tablet' / any response to J7,NA,J7,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_remote_online_phone,"Among respondents who report having a child under 18 in online, remote, or distance learning, the estimated percentage that describes how their oldest child is learning as ""online using a mobile phone.""",NA,J7 == 'Online using a mobile phone' / any response to J7,NA,J7,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_remote_paper,"Among respondents who report having a child under 18 in online, remote, or distance learning, the estimated percentage that describes how their oldest child is learning as ""paper materials sent home.""",NA,J7 == 'Paper materials sent home' / any response to J7,NA,J7,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_remote_television,"Among respondents who report having a child under 18 in online, remote, or distance learning, the estimated percentage that describes how their oldest child is learning as ""classes on television.""",NA,J7 == 'Classes on television' / any response to J7,NA,J7,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_remote_radio,"Among respondents who report having a child under 18 in online, remote, or distance learning, the estimated percentage that describes how their oldest child is learning as ""classes on radio.""",NA,J7 == 'Classes on radio' / any response to J7,NA,J7,NA,NA,2021-12-19,2022-06-25
Parenting,global_school_remote_other,"Among respondents who report having a child under 18 in online, remote, or distance learning, the estimated percentage that describes how their oldest child is learning as ""other.""",NA,J7 == 'Other' / any response to J7,NA,J7,NA,NA,2021-12-19,2022-06-25
Sociodemographics,hispanic_latino,Percentage of respondents who identify as Hispanic or Latino.,(D6 == ‘Yes’) / (any response to D6),NA,D6,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,race_american_indian_alaska_native,Percentage of respondents who indicate that their race is American Indian or Alaska Native.,(D7 == ‘American indian or alaska native’) / (any response to D6),NA,D7,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,race_asian,Percentage of respondents who indicate that their race is Asian.,(D7 == ‘Asian’) / (any response to D6),NA,D7,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,race_black_african_american,Percentage of respondents who indicate that their race is Black or African-American,(D7 == ‘Black’) / (any response to D6),NA,D7,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,race_native_hawaiian_pacific_islander,Percentage of respondents who indicate that their race is Native Hawaiian or Pacific Islander,(D7 == ‘Native hawaiian’) / (any response to D6),NA,D7,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,race_white,Percentage of respondents who indicate their race is white.,(D7 == ‘White’) / (any response to D6),NA,D7,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,race_multiple_other,"Percentage of respondents who indicated their race was ""some other race"" or selected multiple race options.",(D7 == ‘Some other race’ OR multiple response options selected) / (any response to D6),NA,D7,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,language_home_english,Percentage of respondents who indicated that they speak English at home,(D12 == ‘english’) / (any response to D12),NA,D12,NA,2021-05-16,2022-06-25,NA,NA
Sociodemographics,language_home_spanish,Percentage of respondents who indicated that they speak Spanish at home,(D12 == ‘spanish’) / (any response to D12),NA,D12,NA,2021-05-16,2022-06-25,NA,NA
Sociodemographics,language_home_chinese,Percentage of respondents who indicated that they speak Chinese at home,(D12 == ‘chinese’) / (any response to D12),NA,D12,NA,2021-05-16,2022-06-25,NA,NA
Sociodemographics,language_home_vietnamese,Percentage of respondents who indicated they speak Vietnamese at home,(D12 == ‘vietnamese’) / (any response to D12),NA,D12,NA,2021-05-16,2022-06-25,NA,NA
Sociodemographics,language_home_french,Percentage of respondents who indicated they speak French at home,(D12 == ‘french’) / (any response to D12),NA,D12,NA,2021-05-16,2022-06-25,NA,NA
Sociodemographics,language_home_portuguese,Percentage of respondents who indicated they speak Portuguese at home,(D12 == ‘portuguese’) / (any response to D12),NA,D12,NA,2021-05-16,2022-06-25,NA,NA
Sociodemographics,language_home_other,Percentage of respondents who reported speaking some other language at home.,(D12 == ‘other’) / (any response to D12),NA,D12,NA,2021-05-16,2022-06-25,NA,NA
Sociodemographics,education_years,Level of education in years,NA,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,E6,NA,NA,2020-06-21,2021-09-04
Symptoms,days_symptoms,Days with symptoms,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)","Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",B2b,B2,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,ppl_with_symptoms,Number of people known in community with symptoms,NA,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,B4,NA,NA,2020-04-26,2022-06-25
Sociodemographics,ppl_in_same_place,Number of people staying in the same place as the respondent,NA,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,E5,NA,NA,2020-04-26,2022-06-25
Sociodemographics,ppl_in_household_children,Number of children under 18 in the household,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,A5_1,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,ppl_in_household_adults,Number of adults between 18 to 64 years old in household,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,A5_2,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,ppl_in_household_olderadults,Number of adults older than 65 years old in household,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,A5_3,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,ppl_in_household,Number of people in household,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,A2b,NA,2020-04-05,2022-06-25,NA,NA
Sociodemographics,rooms_for_sleeping,Number of rooms used for sleeping in the place where the respondent is staying,NA,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,E7a,NA,NA,2021-05-16,2022-06-25
Sociodemographics,children_in_household,Number of children under 18 in the household,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)","Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",D3,J1,2020-04-05,2020-09-12,2021-05-16,2021-12-25
Sociodemographics,adults_in_household,Number of adults between 18 to 64 years old in household,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,D4,NA,2020-04-05,2020-09-12,NA,NA
Sociodemographics,olderadults_in_household,Number of adults older than 65 years old in household,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,D5,NA,2020-04-05,2020-09-12,NA,NA
Symptoms,ppl_symptoms_household,Number of people in household with symptoms,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,A2,NA,2020-04-05,2022-06-25,NA,NA
Symptoms,ppl_symptoms_community,Number of people known in community with symptoms,"Estimates available include average (_mean), standard deviation (_sd), 25th percentile (_p25), Median (_p50), and 75th percentile (_p75)",NA,A4,NA,2020-04-12,2022-06-25,NA,NA
Parenting,child_school_public,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is attending public school including charter schools.","P4 == 'Public school, including charter schools' / any response to P4",NA,P4,NA,2021-12-19,2022-06-25,NA,NA
Parenting,child_school_private,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is attending private school including religious schools.","P4 == 'Private school, including religious schools' / any response to P4",NA,P4,NA,2021-12-19,2022-06-25,NA,NA
Parenting,child_school_homeschool,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is homeschooled",P4 == 'Homeschooling' / any response to P4,NA,P4,NA,2021-12-19,2022-06-25,NA,NA
Parenting,child_school_not,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child is not in school.",P4 == 'Not in school' / any response to P4,NA,P4,NA,2021-12-19,2022-06-25,NA,NA
Parenting,child_school_other,"Among respondents who report having a child under 18, the estimated percentage who report that their oldest child attends an ""other"" school.",P4 == 'Other' / any response to P4,NA,P4,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_mask_students,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school requires mask wearing for students.",P6 == 'Mandatory mask-wearing for students' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_mask_teachers,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school requires mask wearing for teachers.",P6 == 'Mandatory mask-wearing for teachers' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_restricted_entry,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school restricts entry into school.",P6 == 'Restricted entry into school' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_separators,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school uses separators or desk shields in classrooms.",P6 == 'Use of separators or desk shields in classrooms' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_extracurricular,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school has no school-based extracurricular activities.",P6 == 'No school-based extracurricular activities' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_symptom_screen,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school requires daily symptom screening for those going onto campus.",P6 == 'Daily symptom screening for those going onto campus' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_ventilation,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school has made ventilation improvements.",P6 == 'Ventilation improvements' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_testing_staff,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school requires regular testing of teachers and staff.",P6 == 'Regular testing of teachers and staff' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_testing_students,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school requires regular testing of students.",P6 == 'Regular testing of students' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_vaccine_staff,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school requires vaccines for teachers and staff.",P6 == 'Vaccine requirement of teachers and staff' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_vaccine_students,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school requires vaccines for students in the eligible age range.",P6 == 'Vaccine requirement of students in the eligible age range' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_cafeteria,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report their oldest child's school modified cafeteria usage.",P6 == 'Modified cafeteria usage' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Parenting,school_safety_measures_dont_know,"Among respondents who report having a child under 18 in in-person or mix of in-person and online schooling, the estimated percentage that report that they don't know what measures are taken at school.",P6 == 'I don't know' / any response to P6,NA,P6,NA,2021-12-19,2022-06-25,NA,NA
Symptoms,taken_temp,Percentage of respondents who have taken their temperature among respondents who reported fever as a symptom.,(B3 == 'Yes') / (any response to B3),NA,B3,NA,2020-04-05,2020-09-12,NA,NA
Symptoms,cough_mucus,"Percentage of respondents who reported coughing up mucus, among respondents who reported cough as a symptom.",(B4 == 'Yes') / (any response to B4),NA,B4,NA,2020-04-05,2020-09-12,NA,NA
Symptoms,unusual_symptom_tested,"Among respondents who reported having symptoms, the percentage that were tested for COVID-19.","(B5 == 'Yes, regardless of result') / (any response to B5)",NA,B5,NA,2020-04-05,2020-09-12,NA,NA
Symptoms,unusual_symptom_tested_positive,"Among respondents who reported having symptoms, the percentage that tested positive for COVID-19.","(B5 == 'Yes, and COVID+') / (any response to B5)",NA,B5,NA,2020-04-05,2020-09-12,NA,NA
Vaccines,vaccine_incomplete_sideeffect,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant due to side effects.",(V5d == 'I am concerned about possible side effects...') / (any response to V5d),(V5d == 'I am concerned aobut possible side effects...') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_wontwork,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesistant because they are not sure it will work.",(V5d == 'I don't know if a COVID-19 vaccine will work') / (any response to V5d),(V5d == 'I don't know if a COVID-19 vaccine will work') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_dontbelieve,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesistant because they don't believe they need a vaccine.",(V5d == 'I don't believe I need a COVID vaccine') / (any response to V5d),(V5d == 'I don't believe I need a COVID vaccine') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_dontlike,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant because they don't like vaccines.",(V5d == 'I don't like vaccines') / (any response to V5d),(V5d == 'I don't like vaccines') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_wait,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesistant because they wish to wait and see.",(V5d == 'I plan to wait and see') / (any response to V5d),(V5d == 'I plan to wait and see') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
